# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.init.bridges.ms,1765609254855000000,1765609314879000000,0
workspaceModel.updates.ms,1765609254855000000,1765609314879000000,0
workspaceModel.updates.count,1765609254855000000,1765609314879000000,0
workspaceModel.to.snapshot.ms,1765609254855000000,1765609314879000000,0
workspaceModel.initializing.ms,1765609254855000000,1765609314879000000,0
workspaceModel.updates.precise.ms,1765609254855000000,1765609314879000000,0
workspaceModel.pre.handlers.ms,1765609254855000000,1765609314879000000,0
workspaceModel.collect.changes.ms,1765609254855000000,1765609314879000000,0
workspaceModel.loading.total.ms,1765609254855000000,1765609314879000000,37
workspaceModel.loading.from.cache.ms,1765609254855000000,1765609314879000000,24
workspaceModel.replace.project.model.ms,1765609254855000000,1765609314879000000,0
workspaceModel.update.unloaded.entities.ms,1765609254855000000,1765609314879000000,0
workspaceModel.check.recursive.update.ms,1765609254855000000,1765609314879000000,0
StreamlinedBlobStorage.recordsAllocated,1765609254855000000,1765609314879000000,38
StorageLockContext.competingThreads.90P,1765609254855000000,1765609314879000000,0
FilePageCache.uncachedFileAccess,1765609254855000000,1765609314879000000,736
FilePageCache.pageLoads,1765609254855000000,1765609314879000000,433
StorageLockContext.competingThreads.avg,1765609254855000000,1765609314879000000,0.008620689655172414
StreamlinedBlobStorage.recordsRelocated,1765609254855000000,1765609314879000000,0
FilePageCache.capacityInBytes,1765609254855000000,1765609314879000000,524288000
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1765609254855000000,1765609314879000000,2724
FilePageCache.disposedBuffers,1765609254855000000,1765609314879000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1765609254855000000,1765609314879000000,0
DirectByteBufferAllocator.hits,1765609254855000000,1765609314879000000,3
StreamlinedBlobStorage.recordsDeleted,1765609254855000000,1765609314879000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1765609254855000000,1765609314879000000,457203712
FilePageCache.maxRegisteredFiles,1765609254855000000,1765609314879000000,1589
DirectByteBufferAllocator.reclaimed,1765609254855000000,1765609314879000000,3
FilePageCache.totalPageDisposalsUs,1765609254855000000,1765609314879000000,5609
FilePageCache.pageLoadsAboveSizeThreshold,1765609254855000000,1765609314879000000,0
FilePageCache.maxCacheSizeInBytes,1765609254855000000,1765609314879000000,457203712
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1765609254855000000,1765609314879000000,410
DirectByteBufferAllocator.misses,1765609254855000000,1765609314879000000,430
StorageLockContext.competingThreads.max,1765609254855000000,1765609314879000000,1
FilePageCache.pageHits,1765609254855000000,1765609314879000000,0
FilePageCache.totalPageLoadsUs,1765609254855000000,1765609314879000000,365951
FilePageCache.pageFastCacheHits,1765609254855000000,1765609314879000000,30374
DirectByteBufferAllocator.disposed,1765609254855000000,1765609314879000000,0
NonBlockingReadAction.failedExecutionsCount,1765609254855000000,1765609314879000000,0
FlushQueue.queueSizeAvg,1765609254855000000,1765609314879000000,928.6970134874759
FlushQueue.waitingTimeAvgNs,1765609254855000000,1765609314879000000,2.0222845953973026E10
FlushQueue.queueSizeMax,1765609254855000000,1765609314879000000,1791
AWTEventQueue.dispatchTime90PNs,1765609254855000000,1765609314879000000,57599
FlushQueue.executionTime90PNs,1765609254855000000,1765609314879000000,2539519
FlushQueue.executionTimeAvgNs,1765609254855000000,1765609314879000000,3899794.1579961465
AWTEventQueue.dispatchTimeTotalNS,1765609254855000000,1765609314879000000,54961300591
AWTEventQueue.eventsDispatched,1765609254855000000,1765609314879000000,10632
